Count,Name,Year,Price
304,Civitas Galleries,CANADA: 1916 George V Cent,US$14.00
305,Civitas Galleries,CANADA: 1915 George V Cent,US$14.00
306,Germania Inferior Numismatics (GIN),TIME OF NAPOLEON AR 36mm SILVER medal 1815 A.D. Commemorating the Battle of Waterloo and the victors Blucher & Wellington,€375.00
307,NB-Numismatics,Germany Saxony Otto III pfennig,US$249.00
308,NB-Numismatics,Crusader Antioch Raymond Roupen AR denier,US$159.00
309,Denarius Ringsrud,"Norway, 24 skilling 1846","NOK3,750.00"
310,Denarius Ringsrud,"Greenland, 1 krone 1926",NOK200.00
311,Forum Ancient Coins,Brandenburg-Preussen Friedrich II 1440-1470 Hohlpfennig Bracteate 0.341g,US$102.00
312,NB-Numismatics,France 10 francs 1968- Hercules,US$40.00
313,NB-Numismatics,Italy Messina Corrado I BI denaro,US$35.00
314,NB-Numismatics,Islamic Seljuks Rum Ghiyath al-Din Kay Khusraw I bin Qilich Arslan AE fals,US$59.00
315,NB-Numismatics,Austrian Netherlands Brabant Maria-Theresia 1/2 kroon (couronne) 1765,US$119.00
316,Carthago Numismatics,"Suleiman I the magnificent (1520-1566) 1 Sultani AH929, AD1520 Gold 3,47g. .",€440.00
317,Sovereign Rarities,"India, Victoria, gold Mohur, 1841 C, AU Details.","£3,098.00"
318,Sovereign Rarities,Commonwealth silver Penny,£210.00
319,Sovereign Rarities,"William I Penny, Profile Right type, London Mint, Aelfwine","£1,313.00"
320,Sovereign Rarities,"Edward the Confessor, facing bust Penny, Wallingford, Burewine",£893.00
321,Sovereign Rarities,"Scotland, Alexander III Halfpenny, second coinage, Berwick Mint, star mullet rev.",£788.00
322,Sovereign Rarities,"Scotland, Alexander III Penny, first coinage type 3, Berwick Mint, moneyer William",£394.00
323,Sovereign Rarities,"Scotland, Alexander III Halfpenny, second coinage, two mullets of 6 points",£446.00
324,Sovereign Rarities,George III 1820 Sovereign with open 2 in date MS62,"£6,825.00"
325,Sovereign Rarities,"George III 1800 Third-Guinea, first type with first head and reverse",£788.00
